Portfolio,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown,Calmar Ratio,Win Rate
Strategy Portfolio,25.16,25.27,19.19,1.21,-13.63,1.85,56.57
Benchmark Portfolio,14.79,14.85,8.11,1.58,-5.84,2.54,56.18
