Date,Strategy,Benchmark
2025-06-30 00:00:00-04:00,0.9983238192050171,1.0044503776146607
2025-07-01 00:00:00-04:00,0.9832815584217451,1.003954280176279
2025-07-02 00:00:00-04:00,1.0000806609949136,1.006246995123515
2025-07-03 00:00:00-04:00,1.0055072637008104,1.0100164167072914
2025-07-07 00:00:00-04:00,0.9811191577526658,1.0041735920514385
2025-07-08 00:00:00-04:00,0.9843221833141726,1.0036231591157903
2025-07-09 00:00:00-04:00,0.9868105242299884,1.0088332752020253
2025-07-10 00:00:00-04:00,1.0017911705801041,1.0105955539019293
2025-07-11 00:00:00-04:00,1.0025198470784193,1.006805047367498
2025-07-14 00:00:00-04:00,1.0069146884349773,1.0079024084006407
2025-07-15 00:00:00-04:00,0.9984022166742111,1.0040996267986768
2025-07-16 00:00:00-04:00,1.0105380122443859,1.0068887351444802
2025-07-17 00:00:00-04:00,1.0130291062146883,1.0106965232764287
2025-07-18 00:00:00-04:00,1.0215220880284686,1.010919441405476
2025-07-21 00:00:00-04:00,1.021921188235302,1.0132351803433526
2025-07-22 00:00:00-04:00,1.0251575892230895,1.013987937344612
2025-07-23 00:00:00-04:00,1.0318405391435963,1.018332390041689
2025-07-24 00:00:00-04:00,1.0085740086090753,1.0180327511012444
2025-07-25 00:00:00-04:00,1.0215319855472995,1.0216180366365302
2025-07-28 00:00:00-04:00,1.029909623483727,1.0207932426163675
2025-07-29 00:00:00-04:00,1.0240879128240465,1.02130340048579
2025-07-30 00:00:00-04:00,1.0212422209785168,1.0194740322437184
2025-07-31 00:00:00-04:00,1.0088923913327525,1.0172350812012843
2025-08-01 00:00:00-04:00,0.9918218734850691,1.0107560566219107
2025-08-04 00:00:00-04:00,1.0087469582265687,1.0202487685167045
2025-08-05 00:00:00-04:00,1.004564711616724,1.017311413010324
2025-08-06 00:00:00-04:00,1.0202428816520357,1.0216555134373249
2025-08-07 00:00:00-04:00,1.0217181224402798,1.0209753472743586
2025-08-08 00:00:00-04:00,1.0339747078846997,1.024863930901062
2025-08-11 00:00:00-04:00,1.0406775289885932,1.0239272129782724
2025-08-12 00:00:00-04:00,1.0502211375161377,1.0305233717367213
2025-08-13 00:00:00-04:00,1.0515662139409039,1.0341546659017307
2025-08-14 00:00:00-04:00,1.0483635700383835,1.0330344408784833
2025-08-15 00:00:00-04:00,1.0422316330749624,1.0310214676156821
2025-08-18 00:00:00-04:00,1.0460999193606195,1.0304375965531394
2025-08-19 00:00:00-04:00,1.0369263488707474,1.0278700160224095
2025-08-20 00:00:00-04:00,1.0302013838414126,1.0265110455159272
2025-08-21 00:00:00-04:00,1.023866210249837,1.023035214146957
2025-08-22 00:00:00-04:00,1.052913130506936,1.0345252054463796
2025-08-25 00:00:00-04:00,1.0552406960917708,1.031232261104162
2025-08-26 00:00:00-04:00,1.0627217827142001,1.0343269815489988
2025-08-27 00:00:00-04:00,1.062731073817011,1.0361338289437407
2025-08-28 00:00:00-04:00,1.0623891985297602,1.0388408510838059
2025-08-29 00:00:00-04:00,1.047477088126872,1.034617534060545
2025-09-02 00:00:00-04:00,1.0379392806833974,1.029134172176712
2025-09-03 00:00:00-04:00,1.0461445345684408,1.0338265996152298
2025-09-04 00:00:00-04:00,1.0563221609796074,1.0405831368819498
2025-09-05 00:00:00-04:00,1.064791560920936,1.040745531140676
2025-09-08 00:00:00-04:00,1.0629339918220262,1.0436248722802193
2025-09-09 00:00:00-04:00,1.0651945370389815,1.0442882551376957
2025-09-10 00:00:00-04:00,1.0681175380342438,1.0468295590393852
2025-09-11 00:00:00-04:00,1.092472679802089,1.052948553523022
2025-09-12 00:00:00-04:00,1.1145498808625915,1.052229567814221
2025-09-15 00:00:00-04:00,1.1298679805814675,1.0563808188591834
2025-09-16 00:00:00-04:00,1.137615469658731,1.0555647504728922
2025-09-17 00:00:00-04:00,1.139775383246693,1.0540431860465678
2025-09-18 00:00:00-04:00,1.1369165897475948,1.055924234373322
2025-09-19 00:00:00-04:00,1.1479730101857606,1.0592324493545278
2025-09-22 00:00:00-04:00,1.157991316970153,1.061442356600317
2025-09-23 00:00:00-04:00,1.1472420583911391,1.058832742015432
2025-09-24 00:00:00-04:00,1.1572936682293973,1.0559581186434681
2025-09-25 00:00:00-04:00,1.1393429327640412,1.0525802035436167
2025-09-26 00:00:00-04:00,1.1567807272987503,1.0561983051977164
2025-09-29 00:00:00-04:00,1.1611799701134768,1.0590611406537294
2025-09-30 00:00:00-04:00,1.165437703031725,1.0612838727230702
2025-10-01 00:00:00-04:00,1.1790435104730772,1.0645244668202325
2025-10-02 00:00:00-04:00,1.1632879038303534,1.0657185325569993
2025-10-03 00:00:00-04:00,1.15869906547147,1.0651934085299102
2025-10-06 00:00:00-04:00,1.1792503565592312,1.0665107145266834
2025-10-07 00:00:00-04:00,1.1615122405725582,1.0649438419279529
2025-10-08 00:00:00-04:00,1.1706880675936038,1.0687539742030596
2025-10-09 00:00:00-04:00,1.1659025496450304,1.0666085535441479
2025-10-10 00:00:00-04:00,1.1267417711160088,1.0509784159181135
2025-10-13 00:00:00-04:00,1.1562007474583376,1.0613311923136997
2025-10-14 00:00:00-04:00,1.1502699937903653,1.0611789406495222
2025-10-15 00:00:00-04:00,1.1583598333640899,1.0637215951368875
2025-10-16 00:00:00-04:00,1.1479280094086435,1.0609700654245218
2025-10-17 00:00:00-04:00,1.1604924869650917,1.0640174289312936
2025-10-20 00:00:00-04:00,1.1751699082365357,1.0712256675520975
2025-10-21 00:00:00-04:00,1.1716305477142435,1.0717302544473875
2025-10-22 00:00:00-04:00,1.1645612643835088,1.0683870941136795
2025-10-23 00:00:00-04:00,1.1769298902173155,1.0713345968356696
2025-10-24 00:00:00-04:00,1.1727539931650772,1.0771599303518975
2025-10-27 00:00:00-04:00,1.1968001357859688,1.0850144362922038
2025-10-28 00:00:00-04:00,1.2050739686689806,1.0869748914642856
2025-10-29 00:00:00-04:00,1.206190177186809,1.085145948340792
2025-10-30 00:00:00-04:00,1.1810564107677846,1.0772302045587863
2025-10-31 00:00:00-04:00,1.196133397583555,1.079234821216066
2025-11-03 00:00:00-05:00,1.2063556306416239,1.0799506382865696
2025-11-04 00:00:00-05:00,1.1787677780755643,1.0725025067572824
2025-11-05 00:00:00-05:00,1.1948542480237472,1.073519834278277
2025-11-06 00:00:00-05:00,1.1739812832888852,1.06829001546153
2025-11-07 00:00:00-05:00,1.1628196917708375,1.0686912013607905
2025-11-10 00:00:00-05:00,1.1877439780125578,1.0785818040234085
2025-11-11 00:00:00-05:00,1.1855467025603545,1.0812826177733807
2025-11-12 00:00:00-05:00,1.1792606132760548,1.0814694176420367
2025-11-13 00:00:00-05:00,1.143350081976224,1.0694242828984686
2025-11-14 00:00:00-05:00,1.1450808970114492,1.068685649008616
2025-11-17 00:00:00-05:00,1.1409764496225216,1.0629424728994736
2025-11-18 00:00:00-05:00,1.1281091880829879,1.0579305498375786
2025-11-19 00:00:00-05:00,1.1333972838015545,1.0602118756337808
2025-11-20 00:00:00-05:00,1.1140921913482513,1.0511443223486214
2025-11-21 00:00:00-05:00,1.118860400786377,1.058444684508409
2025-11-24 00:00:00-05:00,1.1519775395233922,1.0685305426342144
2025-11-25 00:00:00-05:00,1.1610425204134247,1.07553426921123
2025-11-26 00:00:00-05:00,1.1723552433978273,1.0804491939535017
2025-11-28 00:00:00-05:00,1.1797183279994858,1.0832953547941107
