,VaR_95_Historical,VaR_99_Historical,VaR_95_Parametric,CVaR_95,CVaR_99,Sharpe_Ratio,Max_Drawdown,Annualized_Return,Annualized_Volatility
TSLA,-5.166375515284558,-8.990644871169305,-5.744248244554701,-7.862087645673847,-12.499351214358382,0.7594581853138577,-1212.2793727357437,45.42388886743972,57.177458492325215
BND,-0.47565474000286534,-0.8616072708836826,-0.5424056324841001,-0.7428785024173549,-1.3052253904103126,0.004712225808420461,-154.46917326667455,2.0250328477939568,5.312319233349443
SPY,-1.6650260863530375,-3.1712958848362414,-1.7720355351813049,-2.6828245007454505,-4.630525491582354,0.7041777991359431,-1241.5327509715814,14.432016231549362,17.654655183398262
