Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2015-01-02 00:00:00-05:00,170.4724967682004,170.88550309811347,168.65525883342033,169.68777465820312,121465900,0.0,0.0,0.0
2015-01-05 00:00:00-05:00,168.6470505972124,168.81225065477216,166.31770079651972,166.62332153320312,169632600,0.0,0.0,0.0
2015-01-06 00:00:00-05:00,166.92893414109756,167.4493262708284,164.2609161597577,165.05389404296875,209151400,0.0,0.0,0.0
2015-01-07 00:00:00-05:00,166.3755058100245,167.44932502984875,165.9294644192436,167.11065673828125,125346700,0.0,0.0,0.0
2015-01-08 00:00:00-05:00,168.51490105817123,170.2908365016817,168.49838987366132,170.07606506347656,147217800,0.0,0.0,0.0
2015-01-09 00:00:00-05:00,170.4890728778248,170.5055966664213,168.10189588592164,168.71315002441406,158567300,0.0,0.0,0.0
2015-01-12 00:00:00-05:00,168.84530078782205,169.0022452562674,166.78852411875266,167.39151000976562,144396100,0.0,0.0,0.0
2015-01-13 00:00:00-05:00,168.60576096190292,169.72913908899594,165.62385367921945,166.9207000732422,214553300,0.0,0.0,0.0
2015-01-14 00:00:00-05:00,164.91348263853635,166.111211515272,164.0213997320499,165.9129638671875,192991100,0.0,0.0,0.0
2015-01-15 00:00:00-05:00,166.54899117615352,166.86286751898896,164.2774556177399,164.39309692382812,176613900,0.0,0.0,0.0
2015-01-16 00:00:00-05:00,164.18662850345416,166.70597099593076,164.0049046119339,166.5490264892578,211879600,0.0,0.0,0.0
2015-01-20 00:00:00-05:00,167.18503146744484,167.44936168573867,165.3430259480595,166.90419006347656,130991100,0.0,0.0,0.0
2015-01-21 00:00:00-05:00,166.44164760507718,168.22583901130292,165.9790822636024,167.7467498779297,122942700,0.0,0.0,0.0
2015-01-22 00:00:00-05:00,168.49836906255456,170.37340919341256,167.12718468012818,170.2412567138672,174356000,0.0,0.0,0.0
2015-01-23 00:00:00-05:00,169.98521597655784,170.24129060330148,169.17572673589194,169.30789184570312,117516800,0.0,0.0,0.0
2015-01-26 00:00:00-05:00,169.09308902732297,169.79519235821022,168.38271750174832,169.70433044433594,92009700,0.0,0.0,0.0
2015-01-27 00:00:00-05:00,167.6558608098982,168.60577072506626,166.63986834178553,167.46588134765625,134044600,0.0,0.0,0.0
2015-01-28 00:00:00-05:00,168.64714643579512,168.7462640058661,165.12833405467558,165.3183135986328,168514300,0.0,0.0,0.0
2015-01-29 00:00:00-05:00,165.51646277051452,167.1024059669704,164.11223080965064,166.84634399414062,173585400,0.0,0.0,0.0
2015-01-30 00:00:00-05:00,165.67343415017112,166.99504739330268,164.48397340858196,164.748291015625,197729700,0.0,0.0,0.0
2015-02-02 00:00:00-05:00,165.24390342208943,166.87940563546837,163.4349329327051,166.78854370117188,163107000,0.0,0.0,0.0
2015-02-03 00:00:00-05:00,167.68063958790245,169.20876868484345,167.30893625739085,169.20050048828125,124212900,0.0,0.0,0.0
2015-02-04 00:00:00-05:00,168.4404958196678,169.64647981825576,168.10182761275476,168.55613708496094,134306700,0.0,0.0,0.0
2015-02-05 00:00:00-05:00,169.21697989161538,170.40644032042204,169.1426417658037,170.25775146484375,97953200,0.0,0.0,0.0
2015-02-06 00:00:00-05:00,170.6212406255758,171.18293601095024,169.26657983067707,169.78697204589844,125672000,0.0,0.0,0.0
2015-02-09 00:00:00-05:00,169.1426798861956,169.86130713891177,168.622287680321,169.02703857421875,87219000,0.0,0.0,0.0
2015-02-10 00:00:00-05:00,170.05958788393312,171.08383610249103,169.06836204099815,170.82777404785156,96164200,0.0,0.0,0.0
2015-02-11 00:00:00-05:00,170.6625165467923,171.35636432033186,170.0182275279404,170.9268341064453,91087800,0.0,0.0,0.0
2015-02-12 00:00:00-05:00,171.71982537678446,172.62844463006107,170.95989500311532,172.57061767578125,97545900,0.0,0.0,0.0
2015-02-13 00:00:00-05:00,172.6945588956595,173.33057988581692,172.43848425618765,173.28102111816406,93670400,0.0,0.0,0.0
2015-02-17 00:00:00-05:00,172.9671141018099,173.72705713986363,172.7193202893553,173.5535888671875,76968200,0.0,0.0,0.0
2015-02-18 00:00:00-05:00,173.18191747029533,173.6444828107608,172.9175872163378,173.5701446533203,80652900,0.0,0.0,0.0
2015-02-19 00:00:00-05:00,172.97540711218107,173.80967580969232,172.83498639699363,173.44622802734375,91462500,0.0,0.0,0.0
2015-02-20 00:00:00-05:00,173.03319335975746,174.56132239525118,172.4136836324964,174.4869842529297,140896400,0.0,0.0,0.0
2015-02-23 00:00:00-05:00,174.23920742827661,174.4622344970703,173.85923585195994,174.4622344970703,74411100,0.0,0.0,0.0
2015-02-24 00:00:00-05:00,174.38787367741764,175.15607237940614,174.09050847083483,174.95782470703125,72472300,0.0,0.0,0.0
2015-02-25 00:00:00-05:00,174.83390718824936,175.3129962204007,174.47045946703403,174.8091278076172,73061700,0.0,0.0,0.0
2015-02-26 00:00:00-05:00,174.71830246796685,174.87524698081072,173.99966246725876,174.6026611328125,72697900,0.0,0.0,0.0
2015-02-27 00:00:00-05:00,174.5035502040762,174.76788048723196,173.95839105200025,174.00794982910156,108076000,0.0,0.0,0.0
2015-03-02 00:00:00-05:00,174.10704020970294,175.1643359693863,174.0574814403365,175.1065216064453,87491400,0.0,0.0,0.0
2015-03-03 00:00:00-05:00,174.67694218695533,175.15603116282256,173.52878480470744,174.38783264160156,110325800,0.0,0.0,0.0
2015-03-04 00:00:00-05:00,173.7931306588669,173.86748140808916,172.68627626062957,173.6527099609375,114497200,0.0,0.0,0.0
2015-03-05 00:00:00-05:00,173.9748649116038,174.12355381496485,173.3388439366605,173.84271240234375,76873000,0.0,0.0,0.0
2015-03-06 00:00:00-05:00,172.98364859577046,173.41317890386983,171.06730490510006,171.397705078125,188128000,0.0,0.0,0.0
2015-03-09 00:00:00-04:00,171.59592352318504,172.46322698067183,171.43897905633878,172.10804748535156,89818900,0.0,0.0,0.0
2015-03-10 00:00:00-04:00,170.745173850606,170.82776759842554,169.27485893348538,169.316162109375,157121300,0.0,0.0,0.0
2015-03-11 00:00:00-04:00,169.57222253293673,169.74569082843064,168.83707138338562,168.919677734375,110145700,0.0,0.0,0.0
2015-03-12 00:00:00-04:00,169.54740269157224,171.13334594125118,169.497843934388,171.06727600097656,93993500,0.0,0.0,0.0
2015-03-13 00:00:00-04:00,170.7947190412468,171.75288458432593,168.98574847515465,170.0182647705078,162410900,0.0,0.0,0.0
2015-03-16 00:00:00-04:00,170.74515462838175,172.3806568570192,170.0430385291803,172.289794921875,136099200,0.0,0.0,0.0
2015-03-17 00:00:00-04:00,171.55463715174756,172.15762309564545,170.96816239253445,171.7776641845703,94510400,0.0,0.0,0.0
